url,title,cluster,page_length_chars,num_sections,num_references,num_categories,num_images,num_infobox_rows
https://en.wikipedia.org/wiki/Machine_learning,Machine learning,1,110229.0,51.0,181.0,5.0,27.0,0.0
https://en.wikipedia.org/wiki/Outline_of_machine_learning,Outline of machine learning,0,29158.0,34.0,3.0,5.0,8.0,0.0
https://en.wikipedia.org/wiki/80_Million_Tiny_Images,80 Million Tiny Images,0,3830.0,5.0,7.0,2.0,0.0,0.0
https://en.wikipedia.org/wiki/A_Logical_Calculus_of_the_Ideas_Immanent_in_Nervous_Activity,A Logical Calculus of the Ideas Immanent in Nervous Activity,0,14357.0,9.0,18.0,4.0,48.0,0.0
https://en.wikipedia.org/wiki/Accelerated_Linear_Algebra,Accelerated Linear Algebra,0,5455.0,8.0,11.0,5.0,1.0,8.0
https://en.wikipedia.org/wiki/Action_model_learning,Action model learning,0,8029.0,6.0,15.0,3.0,11.0,0.0
https://en.wikipedia.org/wiki/Active_learning_(machine_learning),Active learning (machine learning),0,14990.0,7.0,17.0,1.0,3.0,0.0
https://en.wikipedia.org/wiki/Adversarial_machine_learning,Adversarial machine learning,1,58467.0,27.0,119.0,3.0,71.0,0.0
https://en.wikipedia.org/wiki/AI_datacenter,AI datacenter,0,37821.0,13.0,99.0,13.0,2.0,0.0
https://en.wikipedia.org/wiki/AIOps,AIOps,0,8918.0,8.0,27.0,3.0,1.0,0.0
https://en.wikipedia.org/wiki/AIXI,AIXI,0,9197.0,7.0,7.0,3.0,69.0,0.0
https://en.wikipedia.org/wiki/Algorithm_selection,Algorithm selection,0,11508.0,19.0,12.0,2.0,27.0,0.0
https://en.wikipedia.org/wiki/Algorithmic_bias,Algorithmic bias,1,111482.0,37.0,219.0,6.0,6.0,0.0
https://en.wikipedia.org/wiki/Algorithmic_inference,Algorithmic inference,0,12852.0,10.0,1.0,2.0,56.0,0.0
https://en.wikipedia.org/wiki/Anomaly_detection,Anomaly detection,0,31130.0,28.0,58.0,5.0,2.0,0.0
https://en.wikipedia.org/wiki/Aporia_(company),Aporia (company),0,4136.0,2.0,19.0,4.0,1.0,7.0
https://en.wikipedia.org/wiki/Apprenticeship_learning,Apprenticeship learning,0,8879.0,7.0,14.0,1.0,0.0,0.0
https://en.wikipedia.org/wiki/Artificial_intelligence_in_hiring,Artificial intelligence in hiring,0,26091.0,10.0,42.0,4.0,2.0,0.0
https://en.wikipedia.org/wiki/Astrostatistics,Astrostatistics,0,1211.0,1.0,1.0,6.0,5.0,0.0
https://en.wikipedia.org/wiki/Attention_(machine_learning),Attention (machine learning),0,25418.0,20.0,57.0,1.0,63.0,0.0
https://en.wikipedia.org/wiki/Audio_inpainting,Audio inpainting,0,15239.0,7.0,20.0,3.0,17.0,0.0
https://en.wikipedia.org/wiki/Automated_decision-making,Automated decision-making,0,30371.0,23.0,46.0,4.0,0.0,0.0
https://en.wikipedia.org/wiki/Automated_machine_learning,Automated machine learning,0,8021.0,6.0,9.0,3.0,1.0,0.0
https://en.wikipedia.org/wiki/Automation_in_construction,Automation in construction,0,4285.0,4.0,8.0,6.0,0.0,0.0
https://en.wikipedia.org/wiki/Bag-of-words_model,Bag-of-words model,0,8161.0,8.0,5.0,2.0,0.0,0.0
https://en.wikipedia.org/wiki/Ball_tree,Ball tree,0,8972.0,8.0,4.0,2.0,5.0,0.0
https://en.wikipedia.org/wiki/Base_rate,Base rate,0,4911.0,3.0,6.0,4.0,0.0,0.0
https://en.wikipedia.org/wiki/Bayesian_interpretation_of_kernel_regularization,Bayesian interpretation of kernel regularization,0,11153.0,12.0,13.0,2.0,78.0,0.0
https://en.wikipedia.org/wiki/Bayesian_learning_mechanisms,Bayesian learning mechanisms,0,2424.0,2.0,6.0,2.0,2.0,0.0
https://en.wikipedia.org/wiki/Bayesian_optimization,Bayesian optimization,0,16724.0,8.0,45.0,4.0,10.0,0.0
https://en.wikipedia.org/wiki/Bayesian_regret,Bayesian regret,0,2911.0,3.0,7.0,6.0,2.0,0.0
https://en.wikipedia.org/wiki/Bayesian_structural_time_series,Bayesian structural time series,0,3516.0,4.0,4.0,3.0,1.0,0.0
https://en.wikipedia.org/wiki/Bias%E2%80%93variance_tradeoff,Bias–variance tradeoff,0,20595.0,14.0,25.0,4.0,74.0,0.0
https://en.wikipedia.org/wiki/Binary_classification,Binary classification,0,11881.0,9.0,3.0,2.0,8.0,0.0
https://en.wikipedia.org/wiki/Bioserenity,Bioserenity,0,6525.0,4.0,25.0,4.0,1.0,11.0
https://en.wikipedia.org/wiki/Bradley%E2%80%93Terry_model,Bradley–Terry model,0,11394.0,9.0,17.0,4.0,50.0,0.0
